label,nama_obat,golongan,jenis,manfaat,aturan_minum,catatan,,efek_samping,pantangan_makanan,interaksi_negatif,jika_lupa_minum,penyimpanan
Irbesartan,Irbesartan 150 mg,Obat Keras (Antihipertensi - ARB),Obat Tekanan Darah,"Menurunkan tekanan darah, melindungi fungsi ginjal.","1× sehari, pagi atau malam. Minum rutin meski tekanan darah sudah normal.","Tidak menyebabkan kantuk. Bisa membuat pusing saat berdiri, terutama di awal penggunaan. Selalu ukur tekanan darah secara rutin dan minum di waktu yang sama tiap hari.", ,"Pusing saat berdiri, terutama awal penggunaan.","Makanan tinggi garam, alkohol.","Irbesartan dapat berinteraksi dengan obat golongan NSAID (seperti ibuprofen), yang dapat menurunkan fungsi ginjal dan mengurangi efektivitas obat. Suplemen kalium juga dapat menyebabkan kadar kalium meningkat. Konsultasikan dengan dokter sebelum menggunakan bersama obat lain.",Minum segera jika terlewat belum terlalu lama. Lewati jika sudah dekat waktu minum dosis berikutnya.,"Suhu ruang, jauh dari panas dan cahaya."
Candesartan_Cilexetil,Candesartan Cilexetil 8 mg,Obat Keras (Antihipertensi - ARB),Obat Tekanan Darah,Menjaga tekanan darah tetap stabil.,"1× sehari, pagi atau malam. Harus teratur.",Obat ini menjaga tekanan darah tetap stabil. Bisa menimbulkan pusing ringan saat awal pemakaian. Hindari lupa minum karena efeknya bekerja bila diminum rutin., ,"Pusing ringan, kelelahan.","Alkohol, makanan asin.",Candesartan dapat berinteraksi dengan NSAID dan suplemen kalium. Kombinasi ini bisa menyebabkan tekanan darah sulit dikontrol atau memicu gangguan ginjal.,Minum segera jika terlewat belum terlalu lama. ,Tempat sejuk dan kering.
Bisoprolol_Fumarate,Concor (Bisoprolol Fumarate) 2.5 mg ,Obat Keras (Beta Blocker),Obat Tekanan Darah,Menurunkan tekanan darah dan denyut jantung.,"1× sehari, pagi. Tidak boleh langsung berhenti.","Dapat memperlambat detak jantung. Jangan langsung berhenti minum obat tanpa izin dokter karena bisa menyebabkan gangguan jantung. Bisa menyebabkan pusing, jadi duduk/berdiri perlahan.", ,"Detak jantung melambat, pusing, kelelahan.","Kafein berlebih, alkohol.","Bisoprolol dapat berinteraksi dengan verapamil atau diltiazem, yang bisa memperlambat detak jantung berlebihan. Juga perlu hati-hati jika digunakan bersamaan dengan obat diabetes karena bisa menutupi gejala hipoglikemia.",Lewati jika lupa. Jangan menggandakan dosis.,Tempat sejuk dan tidak lembap.
Amlodipine5,Amlodipine 5 mg,Obat Keras (Antihipertensi - Calcium Channel Blocker),Obat Tekanan Darah,Membantu pembuluh darah rileks agar tekanan darah turun.,"1× sehari, waktu bebas.",Kadang menyebabkan bengkak ringan pada pergelangan kaki. Minum secara rutin untuk efek maksimal. Tidak menyebabkan kantuk., ,"Bengkak pergelangan kaki, sakit kepala.",Alkohol.,Amlodipine dapat meningkatkan risiko efek samping jika digunakan dengan simvastatin. Dianjurkan jeda waktu minimal beberapa jam antara konsumsi kedua obat tersebut.,Minum segera jika sudah ingat. Lewati jika hampir waktu dosis berikut.,"Suhu ruang, tidak lembap."
Amlodipine10,Amlodipine 10 mg,Obat Keras (Antihipertensi - Calcium Channel Blocker),Obat Tekanan Darah,Membantu pembuluh darah rileks agar tekanan darah turun dengan dosis yang lebih tinggi dari Amlodipine 5 mg.,"1× sehari, waktu bebas.","Bisa menurunkan tekanan darah secara lebih kuat, dan kadang menimbulkan bengkak kaki atau sakit kepala. Segera konsultasi jika merasa jantung berdebar tidak normal.", ,"Bengkak kaki, jantung berdebar.",Alkohol.,"Amlodipine dosis tinggi memiliki interaksi serupa dengan simvastatin, serta dapat memperkuat efek hipotensi bila dikombinasikan dengan antihipertensi lain.",Minum segera jika sudah ingat. Lewati jika hampir waktu dosis berikut.,"Suhu ruang, tidak lembap."
Aspilets,Aspilets 80 mg,Obat Bebas Terbatas (Antiplatelet - Aspirin),Obat Pengencer Darah (Pencegah Stroke & Serangan Jantung),"Mencegah pembekuan darah, mengurangi risiko stroke dan serangan jantung.","1× sehari, setelah makan pagi.","Jangan diminum dalam keadaan perut kosong karena dapat menyebabkan sakit lambung. Waspadai jika muncul mimisan, memar, atau gusi berdarah.", ,"Gangguan lambung, perdarahan ringan.","Minuman asam, makanan pedas.","Aspilets dapat berinteraksi dengan warfarin, clopidogrel, dan NSAID, yang meningkatkan risiko perdarahan. Hindari kombinasi tanpa anjuran dokter.",Lewati jika lupa. Jangan menggandakan dosis.,Hindari sinar matahari langsung.
Thrombo_Aspilets,Thrombo Aspilets 100 mg,Obat Bebas Terbatas (Antiplatelet - Aspirin),Obat Pengencer Darah (Pencegah Stroke & Serangan Jantung),"Mencegah pembekuan darah, mengurangi risiko stroke dan serangan jantung dengan dosis yang lebih tinggi dari Aspilets 80 mg.","1× sehari, setelah makan pagi.",Berfungsi mengencerkan darah. Dapat meningkatkan risiko perdarahan ringan seperti mimisan atau memar. Hindari luka atau benturan keras saat minum obat ini., ,Perdarahan ringan seperti mimisan atau memar.,Makanan yang meningkatkan risiko perdarahan.,"Sama seperti aspilets, interaksi dengan obat pengencer darah lain seperti warfarin dan NSAID dapat meningkatkan risiko perdarahan serius.",Minum segera jika terlewat belum terlalu lama. Lewati jika sudah dekat waktu minum dosis berikutnya.,"Suhu ruang, hindari kelembapan."
Acetylsalicylic_Acid,Ascardia (Acetylsalicylic Acid) 80 mg ,Obat Bebas Terbatas (Antiplatelet - Aspirin),Obat Pengencer Darah (Pencegah Stroke & Serangan Jantung),"Mencegah pembekuan darah, mengurangi risiko stroke dan serangan jantung.","1× sehari, setelah makan pagi.",Jangan diminum saat perut kosong. Bisa menyebabkan nyeri lambung. Hati-hati jika ada riwayat maag atau sering mimisan. Hindari penggunaan bersamaan dengan obat nyeri lain tanpa petunjuk dokter., ,"Sakit lambung, mimisan, mual.","Makanan asam, alkohol.","Aspirin ini berinteraksi dengan obat antiinflamasi, antikoagulan, dan beberapa antidepresan. Risiko perdarahan meningkat bila dikonsumsi bersamaan.",Minum jika belum terlalu lama. Jangan menggandakan dosis.,Tempat sejuk dan tidak lembap.
Sodium_Bicarbonate,Sodium Bicarbonate 500 mg,Obat Bebas (Antasida / Alkalinizer),Obat Lambung & Ginjal,"Menetralkan asam lambung, bantu fungsi ginjal.","2–3× sehari, setelah makan.",Bekerja menetralkan asam lambung. Jangan digunakan jangka panjang tanpa kontrol dokter. Dapat menyebabkan pembengkakan jika dikonsumsi berlebihan. Hindari makanan tinggi garam., ,"Kembung, kelebihan natrium, pembengkakan.",Makanan tinggi garam.,"Sodium bicarbonate dapat mempengaruhi penyerapan aspirin, antibiotik tetrasiklin, dan antijamur. Beri jeda waktu antar obat agar efeknya tidak terganggu.","Lewati jika lupa, selanjutnya minum seperti jadwal biasa.","Suhu ruang, tertutup rapat."
Simvastatin10,Simvastatin 10 mg,Obat Keras (Hipolipidemik - Statin),Obat Kolesterol,Menurunkan kolesterol dan menjaga kesehatan jantung.,"1× sehari, malam sebelum tidur.","Hindari jus grapefruit dan buah durian karena bisa meningkatkan efek samping. Jika mengalami nyeri otot, lemah, atau urin gelap, segera periksa ke dokter.", ,"Nyeri otot, gangguan liver.","Jus grapefruit, durian.","Simvastatin tidak boleh diminum bersama jus grapefruit, antibiotik makrolida, dan antijamur azole karena meningkatkan risiko kerusakan otot.",Minum jika belum terlewat lebih dari 6 jam. Lewati jika lebih.,"Tempat kering, jauh dari cahaya."
